SubjID	OriobjNo	PicName	PairNo	RotateAng	FaceNo	LureFace	RunNo	genRanNo	AllTrialNo	Foil1	Foil2	key	RT	facechoice
10	10	obj10.jpg	9	120	face26.jpg	face09.jpg	1	6	1	face22.jpg	face27.jpg	1	2540.93473404646	2
10	2	obj04.jpg	1	288	face12.jpg	face19.jpg	1	11	2	face24.jpg	face17.jpg	3	3958.11959076673	2
10	5	obj11.jpg	6	48	face01.jpg	face02.jpg	1	33	3	face23.jpg	face08.jpg	2	1654.8904562369	1
10	7	obj06.jpg	7	72	face03.jpg	face16.jpg	1	38	4	face14.jpg	face06.jpg	3	3043.44077501446	2
10	12	obj14.jpg	12	192	face20.jpg	face27.jpg	1	41	5	face03.jpg	face04.jpg	4	2746.35582044721	1
10	14	obj07.jpg	14	240	face23.jpg	face28.jpg	1	43	6	face18.jpg	face26.jpg	4	2994.42721903324	4
10	1	obj08.jpg	1	288	face14.jpg	face13.jpg	1	59	7	face09.jpg	face10.jpg	1	2209.37781315297	2
10	9	obj02.jpg	9	120	face24.jpg	face04.jpg	1	102	8	face28.jpg	face11.jpg	4	2977.27901954204	1
10	5	obj11.jpg	5	24	face02.jpg	face01.jpg	1	116	9	face13.jpg	face07.jpg	3	3722.43010438979	1
10	7	obj06.jpg	8	96	face16.jpg	face03.jpg	1	163	10	face04.jpg	face14.jpg	2	1843.62997487187	1
10	4	obj03.jpg	4	360	face11.jpg	face25.jpg	1	177	11	face16.jpg	face12.jpg	3	2969.84833199531	1
10	11	obj09.jpg	12	192	face18.jpg	face21.jpg	1	192	12	face10.jpg	face16.jpg	1	3089.4834222272	1
10	13	obj01.jpg	13	216	face05.jpg	face10.jpg	1	195	13	face26.jpg	face28.jpg	3	1877.112114802	1
10	4	obj03.jpg	3	336	face25.jpg	face11.jpg	1	200	14	face01.jpg	face20.jpg	3	3737.85956483334	1
10	10	obj10.jpg	10	144	face09.jpg	face26.jpg	1	206	15	face27.jpg	face05.jpg	4	2379.52097691596	1
10	6	obj05.jpg	5	24	face22.jpg	face17.jpg	1	212	16	face19.jpg	face25.jpg	3	1795.42970191687	2
10	8	obj13.jpg	8	96	face07.jpg	face08.jpg	1	214	17	face11.jpg	face02.jpg	1	2596.14613838494	2
10	12	obj14.jpg	11	168	face27.jpg	face20.jpg	1	228	18	face25.jpg	face19.jpg	1	3259.39516350627	1
10	6	obj05.jpg	6	48	face17.jpg	face22.jpg	1	230	19	face06.jpg	face21.jpg	3	1303.576416336	1
10	3	obj12.jpg	4	360	face06.jpg	face15.jpg	1	245	20	face08.jpg	face24.jpg	4	2460.59221401811	2
10	14	obj07.jpg	13	216	face28.jpg	face23.jpg	1	249	21	face07.jpg	face18.jpg	4	2874.35514293611	1
10	1	obj08.jpg	2	312	face13.jpg	face14.jpg	1	261	22	face21.jpg	face23.jpg	2	1471.03216219693	1
10	2	obj04.jpg	2	312	face19.jpg	face12.jpg	1	270	23	face15.jpg	face13.jpg	1	2236.46374791861	1
10	3	obj12.jpg	3	336	face15.jpg	face06.jpg	1	284	24	face02.jpg	face03.jpg	3	2954.09935992211	1
10	13	obj01.jpg	14	240	face10.jpg	face05.jpg	1	296	25	face17.jpg	face01.jpg	4	2458.71170517057	1
10	8	obj13.jpg	7	72	face08.jpg	face07.jpg	1	335	26	face05.jpg	face15.jpg	2	1303.22192795575	1
10	9	obj02.jpg	10	144	face04.jpg	face24.jpg	1	346	27	face12.jpg	face09.jpg	4	3780.2618490532	1
10	11	obj09.jpg	11	168	face21.jpg	face18.jpg	1	354	28	face20.jpg	face22.jpg	4	3443.1052878499	2
10	9	obj02.jpg	9	120	face24.jpg	face04.jpg	2	3	29	face08.jpg	face14.jpg	1	2003.76730319113	1
10	1	obj08.jpg	2	312	face13.jpg	face14.jpg	2	10	30	face26.jpg	face05.jpg	2	2147.18799106777	1
10	12	obj14.jpg	11	168	face27.jpg	face20.jpg	2	20	31	face07.jpg	face06.jpg	4	2932.22593795508	1
10	14	obj07.jpg	14	240	face23.jpg	face28.jpg	2	25	32	face15.jpg	face26.jpg	2	1853.94119378179	1
10	9	obj02.jpg	10	144	face04.jpg	face24.jpg	2	58	33	face18.jpg	face17.jpg	4	1699.50331375003	2
10	6	obj05.jpg	5	24	face22.jpg	face17.jpg	2	74	34	face02.jpg	face23.jpg	3	2856.21524788439	1
10	3	obj12.jpg	3	336	face15.jpg	face06.jpg	2	95	35	face03.jpg	face04.jpg	4	1764.08733520657	1
10	13	obj01.jpg	13	216	face05.jpg	face10.jpg	2	108	36	face13.jpg	face12.jpg	1	2870.25415338576	1
10	2	obj04.jpg	1	288	face12.jpg	face19.jpg	2	120	37	face11.jpg	face21.jpg	1	3434.89034101367	2
10	3	obj12.jpg	4	360	face06.jpg	face15.jpg	2	125	38	face04.jpg	face25.jpg	3	4310.71409489959	1
10	13	obj01.jpg	14	240	face10.jpg	face05.jpg	2	127	39	face12.jpg	face03.jpg	1	2408.55036396533	1
10	2	obj04.jpg	2	312	face19.jpg	face12.jpg	2	131	40	face16.jpg	face01.jpg	4	2191.40359759331	1
10	8	obj13.jpg	8	96	face07.jpg	face08.jpg	2	142	41	face19.jpg	face16.jpg	4	2751.83899980038	4
10	12	obj14.jpg	12	192	face20.jpg	face27.jpg	2	144	42	face25.jpg	face08.jpg	2	1391.78031031042	1
10	7	obj06.jpg	8	96	face16.jpg	face03.jpg	2	196	43	face06.jpg	face09.jpg	4	2769.85468622297	2
10	1	obj08.jpg	1	288	face14.jpg	face13.jpg	2	204	44	face20.jpg	face24.jpg	3	1512.92802207172	2
10	5	obj11.jpg	5	24	face02.jpg	face01.jpg	2	210	45	face10.jpg	face20.jpg	4	2437.90889251977	2
