SubjID	OriobjNo	PicName	PairNo	RotateAng	FaceNo	RunNo	genRanNo	AllTrialNo	colchoice	RT
5	12	obj12.jpg	12	288	face07.jpg	1	2	1	297	13.6168950628489
5	8	obj14.jpg	7	168	face01.jpg	1	3	2	156	11.4708882765844
5	11	obj01.jpg	11	264	face02.jpg	1	7	3	253	8.92192104365677
5	8	obj14.jpg	8	192	face12.jpg	1	8	4	198	8.34092457499355
5	14	obj10.jpg	14	336	face20.jpg	1	9	5	327	2.58555236272514
5	11	obj01.jpg	12	288	face27.jpg	1	10	6	280	9.47298349905759
5	2	obj07.jpg	2	48	face23.jpg	1	11	7	51	6.54372763354331
5	1	obj04.jpg	2	48	face13.jpg	1	12	8	58	4.65570085681975
5	6	obj02.jpg	6	144	face14.jpg	1	14	9	147	16.9060339229181
5	9	obj05.jpg	9	216	face03.jpg	1	15	10	218	6.36437099333853
5	6	obj02.jpg	5	120	face25.jpg	1	16	11	121	9.36044112965465
5	10	obj03.jpg	9	216	face26.jpg	1	20	12	215	11.6434545209631
5	13	obj06.jpg	14	336	face21.jpg	1	21	13	333	12.5732109285891
5	3	obj08.jpg	3	72	face10.jpg	1	25	14	64	3.67153855320066
5	10	obj03.jpg	10	240	face05.jpg	1	26	15	246	4.88545427005738
5	1	obj04.jpg	1	24	face18.jpg	1	27	16	18	4.92574277240783
5	4	obj09.jpg	4	96	face17.jpg	1	30	17	98	4.00268563907593
5	12	obj12.jpg	11	264	face16.jpg	1	32	18	237	4.22883128840476
5	7	obj11.jpg	7	168	face28.jpg	1	34	19	172	6.05389599129558
5	9	obj05.jpg	10	240	face04.jpg	1	38	20	239	8.97886777389795
5	5	obj13.jpg	6	144	face08.jpg	1	39	21	143	7.9409400196746
5	7	obj11.jpg	8	192	face24.jpg	1	41	22	191	4.22254666034132
5	2	obj07.jpg	1	24	face06.jpg	1	42	23	26	7.78409829735756
5	14	obj10.jpg	13	312	face19.jpg	1	45	24	311	5.32657351251692
5	13	obj06.jpg	13	312	face09.jpg	1	46	25	300	2.72127560153604
5	4	obj09.jpg	3	72	face15.jpg	1	47	26	66	8.43562566954643
5	5	obj13.jpg	5	120	face22.jpg	1	48	27	120	3.78647932223976
5	3	obj08.jpg	4	96	face11.jpg	1	51	28	101	7.84895872790366
5	4	obj09.jpg	4	96	face17.jpg	2	1	29	81	3.56355202104896
5	14	obj10.jpg	13	312	face19.jpg	2	4	30	302	7.021818311885
5	7	obj11.jpg	7	168	face28.jpg	2	5	31	153	9.68955226708204
5	3	obj08.jpg	4	96	face11.jpg	2	6	32	92	5.56984099373221
5	2	obj07.jpg	1	24	face06.jpg	2	13	33	32	10.945486930199
5	14	obj10.jpg	14	336	face20.jpg	2	17	34	332	17.4492734111845
5	11	obj01.jpg	12	288	face27.jpg	2	18	35	299	4.32683304417878
5	9	obj05.jpg	10	240	face04.jpg	2	19	36	241	4.83475155103952
5	12	obj12.jpg	12	288	face07.jpg	2	22	37	292	7.26633793581277
5	11	obj01.jpg	11	264	face02.jpg	2	23	38	255	2.98366787564009
5	13	obj06.jpg	13	312	face09.jpg	2	24	39	314	5.59738892968744
5	2	obj07.jpg	2	48	face23.jpg	2	28	40	51	2.77449963334948
5	9	obj05.jpg	9	216	face03.jpg	2	29	41	216	5.25427834689617
5	6	obj02.jpg	6	144	face14.jpg	2	31	42	127	4.52020686678588
5	12	obj12.jpg	11	264	face16.jpg	2	33	43	257	2.26871924940497
5	10	obj03.jpg	10	240	face05.jpg	2	35	44	258	2.19799419306219
5	13	obj06.jpg	14	336	face21.jpg	2	36	45	332	10.2456921003759
5	8	obj14.jpg	8	192	face12.jpg	2	37	46	194	8.36129604279995
5	6	obj02.jpg	5	120	face25.jpg	2	40	47	130	9.40865449886769
5	1	obj04.jpg	1	24	face18.jpg	2	43	48	15	3.37282822281122
5	7	obj11.jpg	8	192	face24.jpg	2	44	49	194	3.98996338155121
5	5	obj13.jpg	5	120	face22.jpg	2	49	50	114	3.34491135273129
5	3	obj08.jpg	3	72	face10.jpg	2	50	51	65	3.67679535504431
5	1	obj04.jpg	2	48	face13.jpg	2	52	52	67	3.60666912049055
5	4	obj09.jpg	3	72	face15.jpg	2	53	53	74	7.37473164591938
5	10	obj03.jpg	9	216	face26.jpg	2	54	54	205	3.93952568527311
5	5	obj13.jpg	6	144	face08.jpg	2	55	55	124	3.78468413278461
5	8	obj14.jpg	7	168	face01.jpg	2	56	56	157	9.30407784041017
