SubjID	OriobjNo	PicName	PairNo	RotateAng	FaceNo	RunNo	genRanNo	AllTrialNo	colchoice	RT
20	9	obj14.jpg	9	360	face24.jpg	1	3	1	5	4.37877160869539
20	14	obj01.jpg	14	120	face21.jpg	1	7	2	129	1.91792232170701
20	8	obj08.jpg	7	312	face13.jpg	1	8	3	300	4.89937927946448
20	7	obj09.jpg	8	336	face23.jpg	1	9	4	340	6.22430408187211
20	6	obj02.jpg	5	264	face07.jpg	1	10	5	237	3.21967437118292
20	9	obj14.jpg	10	24	face12.jpg	1	14	6	26	3.82165746763349
20	10	obj12.jpg	10	24	face20.jpg	1	15	7	11	1.80134994350374
20	13	obj06.jpg	14	120	face08.jpg	1	16	8	123	5.07448040880263
20	11	obj13.jpg	11	48	face16.jpg	1	17	9	43	3.3797541949898
20	1	obj04.jpg	1	168	face05.jpg	1	20	10	132	2.72276865132153
20	12	obj10.jpg	11	48	face04.jpg	1	23	11	47	4.58431643620133
20	4	obj05.jpg	3	216	face03.jpg	1	25	12	206	3.96233727782965
20	5	obj03.jpg	5	264	face01.jpg	1	29	13	252	2.24127887189388
20	4	obj05.jpg	4	240	face11.jpg	1	30	14	255	2.28839031234384
20	13	obj06.jpg	13	96	face17.jpg	1	31	15	96	2.62573278881609
20	7	obj09.jpg	7	312	face10.jpg	1	32	16	294	3.00466100312769
20	3	obj11.jpg	3	216	face18.jpg	1	33	17	216	2.54521872475743
20	5	obj03.jpg	6	288	face06.jpg	1	34	18	289	3.32060113176703
20	8	obj08.jpg	8	336	face22.jpg	1	35	19	324	3.7142469137907
20	12	obj10.jpg	12	72	face27.jpg	1	36	20	79	5.88429221324623
20	6	obj02.jpg	6	288	face19.jpg	1	38	21	287	3.76991213671863
20	2	obj07.jpg	1	168	face25.jpg	1	39	22	157	2.19608109071851
20	11	obj13.jpg	12	72	face26.jpg	1	41	23	96	1.95898760668933
20	3	obj11.jpg	4	240	face28.jpg	1	44	24	261	3.60196522809565
20	2	obj07.jpg	2	192	face09.jpg	1	46	25	212	2.21867019683123
20	10	obj12.jpg	9	360	face15.jpg	1	50	26	15	2.32551671750844
20	14	obj01.jpg	13	96	face02.jpg	1	51	27	96	1.84036958962679
20	1	obj04.jpg	2	192	face14.jpg	1	52	28	183	4.68218574114144
20	5	obj03.jpg	5	264	face01.jpg	2	1	29	251	3.39818423241377
20	1	obj04.jpg	2	192	face14.jpg	2	2	30	229	2.73487069457769
20	9	obj14.jpg	10	24	face12.jpg	2	4	31	41	4.1264579705894
20	7	obj09.jpg	7	312	face10.jpg	2	5	32	296	3.93408567085862
20	10	obj12.jpg	10	24	face20.jpg	2	6	33	41	5.01730784773827
20	11	obj13.jpg	11	48	face16.jpg	2	11	34	43	3.1955499779433
20	6	obj02.jpg	6	288	face19.jpg	2	12	35	295	3.31904596835375
20	1	obj04.jpg	1	168	face05.jpg	2	13	36	134	6.03388193808496
20	3	obj11.jpg	4	240	face28.jpg	2	18	37	251	1.2481543906033
20	12	obj10.jpg	12	72	face27.jpg	2	19	38	73	2.63502261973917
20	3	obj11.jpg	3	216	face18.jpg	2	21	39	218	7.21514472924173
20	8	obj08.jpg	7	312	face13.jpg	2	22	40	284	3.54027357511222
20	4	obj05.jpg	4	240	face11.jpg	2	24	41	263	1.93722017854452
20	7	obj09.jpg	8	336	face23.jpg	2	26	42	330	2.07486932910979
20	12	obj10.jpg	11	48	face04.jpg	2	27	43	36	5.37546082772315
20	8	obj08.jpg	8	336	face22.jpg	2	28	44	354	3.90419301018119
20	2	obj07.jpg	2	192	face09.jpg	2	37	45	214	3.20159615203738
20	14	obj01.jpg	14	120	face21.jpg	2	40	46	118	3.18672203086317
20	13	obj06.jpg	13	96	face17.jpg	2	42	47	82	1.40268613211811
20	9	obj14.jpg	9	360	face24.jpg	2	43	48	353	3.82725191861391
20	5	obj03.jpg	6	288	face06.jpg	2	45	49	295	3.85728584229946
20	14	obj01.jpg	13	96	face02.jpg	2	47	50	73	4.37242231331766
20	2	obj07.jpg	1	168	face25.jpg	2	48	51	210	2.09647930972278
20	4	obj05.jpg	3	216	face03.jpg	2	49	52	217	3.03951956704259
20	10	obj12.jpg	9	360	face15.jpg	2	53	53	8	2.98696539364755
20	13	obj06.jpg	14	120	face08.jpg	2	54	54	114	4.87277889251709
20	6	obj02.jpg	5	264	face07.jpg	2	55	55	241	3.37498048879206
20	11	obj13.jpg	12	72	face26.jpg	2	56	56	98	4.49109829030931
