SubjID	OriobjNo	PicName	PairNo	RotateAng	FaceNo	RunNo	genRanNo	AllTrialNo	colchoice	RT
6	2	obj02.jpg	1	312	face11.jpg	1	1	1	321	9.47656711190939
6	1	obj03.jpg	1	312	face07.jpg	1	5	2	329	6.20763260871172
6	5	obj12.jpg	6	72	face10.jpg	1	6	3	55	18.5242518698797
6	12	obj04.jpg	11	192	face18.jpg	1	7	4	177	4.52986739668995
6	13	obj10.jpg	13	240	face12.jpg	1	8	5	229	2.71632883511484
6	7	obj01.jpg	8	120	face15.jpg	1	9	6	136	7.34376580547541
6	14	obj13.jpg	13	240	face04.jpg	1	12	7	233	2.74354329425842
6	11	obj06.jpg	11	192	face17.jpg	1	16	8	199	1.04631869215518
6	1	obj03.jpg	2	336	face26.jpg	1	17	9	351	5.49708853755146
6	8	obj05.jpg	7	96	face27.jpg	1	20	10	99	15.845656148158
6	11	obj06.jpg	12	216	face06.jpg	1	22	11	253	1.97242112830281
6	6	obj08.jpg	5	48	face23.jpg	1	24	12	60	5.79544632416219
6	7	obj01.jpg	7	96	face08.jpg	1	25	13	84	6.65711291134357
6	5	obj12.jpg	5	48	face19.jpg	1	26	14	44	11.7803545799106
6	8	obj05.jpg	8	120	face14.jpg	1	29	15	150	5.34870733879507
6	9	obj09.jpg	10	168	face01.jpg	1	30	16	185	4.28832076396793
6	3	obj07.jpg	3	360	face05.jpg	1	32	17	325	3.30118586029857
6	14	obj13.jpg	14	264	face28.jpg	1	33	18	275	3.81369114667177
6	4	obj11.jpg	4	24	face20.jpg	1	34	19	355	4.70249719917774
6	13	obj10.jpg	14	264	face21.jpg	1	35	20	283	3.80248903296888
6	6	obj08.jpg	6	72	face09.jpg	1	36	21	45	2.49470015242696
6	4	obj11.jpg	3	360	face13.jpg	1	45	22	357	3.20713712926954
6	10	obj14.jpg	9	144	face03.jpg	1	47	23	148	7.53643443342298
6	9	obj09.jpg	9	144	face25.jpg	1	48	24	213	3.34882453456521
6	10	obj14.jpg	10	168	face16.jpg	1	49	25	173	2.43446444626898
6	3	obj07.jpg	4	24	face24.jpg	1	50	26	356	2.93225323874503
6	12	obj04.jpg	12	216	face02.jpg	1	51	27	225	4.23441593907773
6	2	obj02.jpg	2	336	face22.jpg	1	53	28	358	5.96685905661434
6	10	obj14.jpg	10	168	face16.jpg	2	2	29	168	7.58574013598263
6	13	obj10.jpg	14	264	face21.jpg	2	3	30	264	10.7974231150001
6	14	obj13.jpg	14	264	face28.jpg	2	4	31	260	16.2268074015155
6	12	obj04.jpg	12	216	face02.jpg	2	10	32	227	5.53200897853822
6	13	obj10.jpg	13	240	face12.jpg	2	11	33	236	2.41847921907902
6	4	obj11.jpg	4	24	face20.jpg	2	13	34	15	4.78835047967732
6	8	obj05.jpg	8	120	face14.jpg	2	14	35	139	6.20147780142725
6	7	obj01.jpg	7	96	face08.jpg	2	15	36	90	6.69087523967028
6	9	obj09.jpg	10	168	face01.jpg	2	18	37	187	3.77367708459496
6	5	obj12.jpg	5	48	face19.jpg	2	19	38	52	9.59894412942231
6	3	obj07.jpg	3	360	face05.jpg	2	21	39	331	4.25746447406709
6	4	obj11.jpg	3	360	face13.jpg	2	23	40	5	2.1656055226922
6	6	obj08.jpg	6	72	face09.jpg	2	27	41	40	2.31212862301618
6	2	obj02.jpg	2	336	face22.jpg	2	28	42	344	2.62834506202489
6	10	obj14.jpg	9	144	face03.jpg	2	31	43	146	6.18293449282646
6	7	obj01.jpg	8	120	face15.jpg	2	37	44	105	8.33172092586756
6	1	obj03.jpg	1	312	face07.jpg	2	38	45	332	6.39190183021128
6	11	obj06.jpg	11	192	face17.jpg	2	39	46	185	4.31465839594603
6	9	obj09.jpg	9	144	face25.jpg	2	40	47	195	5.50473217200488
6	1	obj03.jpg	2	336	face26.jpg	2	41	48	332	2.83650366589427
6	11	obj06.jpg	12	216	face06.jpg	2	42	49	258	1.67081779614091
6	5	obj12.jpg	6	72	face10.jpg	2	43	50	53	14.7463946035132
6	6	obj08.jpg	5	48	face23.jpg	2	44	51	31	2.02661737985909
6	12	obj04.jpg	11	192	face18.jpg	2	46	52	182	7.69143036939204
6	3	obj07.jpg	4	24	face24.jpg	2	52	53	13	5.38706739526242
6	2	obj02.jpg	1	312	face11.jpg	2	54	54	324	9.42375771235675
6	14	obj13.jpg	13	240	face04.jpg	2	55	55	227	3.87713076360524
6	8	obj05.jpg	7	96	face27.jpg	2	56	56	94	9.41825895942748
