SubjID	OriobjNo	PicName	PairNo	RotateAng	FaceNo	RunNo	genRanNo	AllTrialNo	colchoice	RT
22	1	obj02.jpg	1	264	face22.jpg	1	3	1	230	17.25453552
22	11	obj04.jpg	11	144	face03.jpg	1	4	2	144	3.216827515
22	9	obj08.jpg	10	120	face11.jpg	1	7	3	129	5.806631479
22	10	obj01.jpg	9	96	face06.jpg	1	10	4	93	8.645571359
22	8	obj06.jpg	8	72	face21.jpg	1	11	5	69	7.279045463
22	6	obj03.jpg	6	24	face09.jpg	1	17	6	45	3.555011143
22	3	obj09.jpg	3	312	face26.jpg	1	18	7	326	6.562033239
22	12	obj05.jpg	11	144	face13.jpg	1	19	8	121	3.692658517
22	5	obj07.jpg	5	360	face27.jpg	1	20	9	351	4.713897113
22	4	obj11.jpg	4	336	face23.jpg	1	21	10	336	3.783512744
22	2	obj10.jpg	2	288	face02.jpg	1	23	11	288	7.812070055
22	12	obj05.jpg	12	168	face14.jpg	1	27	12	104	8.677305856
22	7	obj12.jpg	8	72	face01.jpg	1	30	13	71	6.460986895
22	2	obj10.jpg	1	264	face16.jpg	1	31	14	248	6.737153131
22	6	obj03.jpg	5	360	face28.jpg	1	36	15	354	1.17984227
22	11	obj04.jpg	12	168	face07.jpg	1	37	16	158	6.704174455
22	3	obj09.jpg	4	336	face17.jpg	1	39	17	351	2.995755574
22	5	obj07.jpg	6	24	face24.jpg	1	41	18	24	3.952625273
22	9	obj08.jpg	9	96	face15.jpg	1	43	19	90	5.483695241
22	14	obj14.jpg	14	216	face05.jpg	1	44	20	219	3.552755334
22	14	obj14.jpg	13	192	face19.jpg	1	46	21	199	7.064131762
22	8	obj06.jpg	7	48	face25.jpg	1	47	22	32	4.723625916
22	10	obj01.jpg	10	120	face10.jpg	1	48	23	147	3.536277756
22	13	obj13.jpg	14	216	face08.jpg	1	49	24	224	5.480616226
22	4	obj11.jpg	3	312	face20.jpg	1	51	25	322	7.704930588
22	7	obj12.jpg	7	48	face18.jpg	1	53	26	33	3.362551794
22	1	obj02.jpg	2	288	face04.jpg	1	54	27	273	3.321517786
22	13	obj13.jpg	13	192	face12.jpg	1	55	28	190	6.76850144
22	3	obj09.jpg	3	312	face26.jpg	2	1	29	318	5.017308128
22	2	obj10.jpg	1	264	face16.jpg	2	2	30	242	3.452689681
22	1	obj02.jpg	1	264	face22.jpg	2	5	31	253	3.912822058
22	7	obj12.jpg	7	48	face18.jpg	2	6	32	36	2.673854128
22	13	obj13.jpg	14	216	face08.jpg	2	8	33	230	2.544975777
22	5	obj07.jpg	5	360	face27.jpg	2	9	34	348	2.999134325
22	5	obj07.jpg	6	24	face24.jpg	2	12	35	31	2.431207693
22	6	obj03.jpg	6	24	face09.jpg	2	13	36	25	3.786928871
22	11	obj04.jpg	12	168	face07.jpg	2	14	37	114	3.244756694
22	6	obj03.jpg	5	360	face28.jpg	2	15	38	6	2.715429699
22	7	obj12.jpg	8	72	face01.jpg	2	16	39	57	4.517782421
22	14	obj14.jpg	14	216	face05.jpg	2	22	40	210	1.826415873
22	10	obj01.jpg	9	96	face06.jpg	2	24	41	99	5.00224927
22	11	obj04.jpg	11	144	face03.jpg	2	25	42	152	3.434291082
22	9	obj08.jpg	10	120	face11.jpg	2	26	43	137	4.304811758
22	4	obj11.jpg	4	336	face23.jpg	2	28	44	329	8.100679337
22	12	obj05.jpg	11	144	face13.jpg	2	29	45	140	5.772494662
22	8	obj06.jpg	8	72	face21.jpg	2	32	46	64	4.831030263
22	9	obj08.jpg	9	96	face15.jpg	2	33	47	90	7.842351919
22	1	obj02.jpg	2	288	face04.jpg	2	34	48	284	5.14052748
22	8	obj06.jpg	7	48	face25.jpg	2	35	49	43	2.876697264
22	12	obj05.jpg	12	168	face14.jpg	2	38	50	104	7.077159394
22	10	obj01.jpg	10	120	face10.jpg	2	40	51	110	3.451378108
22	3	obj09.jpg	4	336	face17.jpg	2	42	52	11	2.613806558
22	4	obj11.jpg	3	312	face20.jpg	2	45	53	318	4.182114757
22	2	obj10.jpg	2	288	face02.jpg	2	50	54	259	4.273606738
22	14	obj14.jpg	13	192	face19.jpg	2	52	55	193	2.772051182
22	13	obj13.jpg	13	192	face12.jpg	2	56	56	202	2.273701453
